id,color,level,cost,points,effect_type,trigger_action,trigger_color,convert_from,convert_to,upgrade_energy,upgrade_archive,upgrade_research,upgrade_special,tooltip
215,red,2,2,2,converter,,,yellow,any2,,,,,
216,yellow,2,2,2,converter,,,red,any2,,,,,
217,black,2,3,3,converter,,,yellow,two,,,,,
218,blue,2,3,3,converter,,,red,two,,,,,
219,red,2,3,3,converter,,,blue,two,,,,,
220,yellow,2,3,3,converter,,,black,two,,,,,
221,black,2,3,3,converter,,,red,two,,,,,
222,blue,2,3,3,converter,,,yellow,two,,,,,
223,red,2,3,3,converter,,,black,two,,,,,
224,yellow,2,3,3,converter,,,blue,two,,,,,
225,black,2,2,2,trigger_build,pick,"red,blue",,,,,,,
226,blue,2,2,2,trigger_build,pick,"yellow,black",,,,,,,
227,red,2,2,2,trigger_build,pick,"blue,yellow",,,,,,,
228,yellow,2,2,2,trigger_build,pick,"black,red",,,,,,,
229,black,2,2,2,trigger_build,pick,"yellow,red",,,,,,,
230,blue,2,2,2,trigger_build,pick,"yellow,red",,,,,,,
231,red,2,2,2,trigger_build,pick,"blue,black",,,,,,,
232,yellow,2,2,2,trigger_build,pick,"blue,black",,,,,,,
233,black,2,3,3,trigger_build,point,"blue,yellow",,,,,,,
234,blue,2,3,3,trigger_build,point,"black,red",,,,,,,
235,red,2,3,3,trigger_build,point,"yellow,black",,,,,,,
236,yellow,2,3,3,trigger_build,point,"red,blue",,,,,,,
301,black,3,4,4,upgrade,,,,,4,0,0,,
302,blue,3,4,4,upgrade,,,,,4,0,0,,
303,red,3,4,4,converter,,,any,any,,,,,
304,yellow,3,4,4,converter,,,any,any,,,,,
305,black,3,5,5,converter,,,"blue,yellow",two,,,,,
306,blue,3,5,5,converter,,,"black,red",two,,,,,
307,red,3,5,5,trigger_buildfromfile,point_2,,,,,,,,
308,yellow,3,5,5,trigger_buildfromfile,point_2,,,,,,,,
309,black,3,4,4,trigger_file,point,,,,,,,,
310,red,3,4,4,trigger_file,point,,,,,,,,
311,blue,3,4,4,trigger_file,draw_3,,,,,,,,
312,yellow,3,4,4,trigger_file,draw_3,,,,,,,,
313,black,3,6,6,trigger_buildlevel2,pick_2,,,,,,,,
314,red,3,6,6,trigger_buildlevel2,pick_2,,,,,,,,
315,blue,3,5,5,upgrade,,,,,,,,discount_level2,
316,yellow,3,5,5,upgrade,,,,,,,,discount_level2,
317,black,3,5,5,trigger_build,point_2,,,,,,,,
318,red,3,5,5,trigger_build,point_2,,,,,,,,
319,blue,3,6,6,trigger_build,build_level1_for0,,,,,,,,
320,yellow,3,6,6,trigger_build,build_level1_for0,,,,,,,,
321,black,3,4,8,upgrade,,,,,,,,no_research,
322,yellow,3,4,8,upgrade,,,,,,,,no_research,
323,blue,3,4,7,upgrade,,,,,,,,no_file,
324,red,3,4,7,upgrade,,,,,,,,no_file,
325,black,3,5,5,trigger_build,file,"blue,yellow",,,,,,,
326,yellow,3,5,5,trigger_build,file,"black,red",,,,,,,
327,blue,3,5,5,upgrade,,,,,,,,discount_buildfromfile,
328,red,3,5,5,upgrade,,,,,,,,discount_buildfromfile,
329,black,3,6,6,upgrade,,,,,,,,discount_buildfromresearch,
330,yellow,3,6,6,upgrade,,,,,,,,discount_buildfromresearch,
331,blue,3,7,7,trigger_build,research,"yellow,red",,,,,,,
332,red,3,7,7,trigger_build,research,"blue,black",,,,,,,
333,multi,3,7,X,upgrade,,,,,,,,score_energy,
334,multi,3,7,X,upgrade,,,,,,,,score_energy,
335,multi,3,7,X,upgrade,,,,,,,,score_points,
336,multi,3,7,X,upgrade,,,,,,,,score_points,
901,none,0,0,0,trigger_file,draw,,,,,,,,
902,none,0,0,0,trigger_file,draw,,,,,,,,
903,none,0,0,0,trigger_file,draw,,,,,,,,
904,none,0,0,0,trigger_file,draw,,,,,,,,
